t,x,y
8.060113E0,1.877963E-1,-9.076694E-4
8.093420E0,1.877998E-1,-8.969665E-4
8.126726E0,1.878230E-1,-8.680305E-4
8.160032E0,1.878329E-1,-8.649868E-4
8.193338E0,1.878424E-1,-8.650149E-4
8.226645E0,1.878517E-1,-8.687574E-4
8.259951E0,1.878573E-1,-8.751522E-4
8.293257E0,1.878444E-1,-8.868425E-4
8.326563E0,1.878355E-1,-8.973385E-4
8.359870E0,1.878408E-1,-9.072476E-4
8.393176E0,1.878343E-1,-9.171652E-4
8.426482E0,1.878384E-1,-9.547322E-4
8.459788E0,1.878314E-1,-9.678434E-4
8.493095E0,1.878241E-1,-9.701296E-4
8.526401E0,1.878160E-1,-9.951013E-4
8.559707E0,1.878125E-1,-1.021349E-3
8.593013E0,1.878048E-1,-1.050792E-3
8.626320E0,1.878008E-1,-1.102879E-3
8.659626E0,1.877793E-1,-1.131355E-3
8.692932E0,1.877738E-1,-1.147924E-3
8.726238E0,1.877678E-1,-1.186981E-3
8.759545E0,1.877742E-1,-1.196065E-3
8.792851E0,1.877762E-1,-1.208249E-3
8.826157E0,1.877547E-1,-1.215603E-3
8.859463E0,1.877063E-1,-1.198796E-3
8.892770E0,1.876845E-1,-1.183413E-3
8.926076E0,1.877005E-1,-1.176658E-3
8.959382E0,1.877234E-1,-1.175501E-3
8.992688E0,1.877145E-1,-1.157347E-3
9.025995E0,1.876743E-1,-1.147941E-3
9.059301E0,1.876324E-1,-1.122976E-3
9.092607E0,1.875795E-1,-1.110545E-3
9.125913E0,1.875706E-1,-1.103819E-3
9.159220E0,1.875617E-1,-1.095434E-3
9.192526E0,1.875405E-1,-1.080281E-3
9.225832E0,1.874313E-1,-1.025631E-3
9.259139E0,1.873482E-1,-9.665114E-4
9.292445E0,1.873239E-1,-9.275526E-4
9.325751E0,1.873257E-1,-8.944182E-4
9.359057E0,1.873145E-1,-8.803891E-4
9.392364E0,1.872503E-1,-8.246619E-4
9.425670E0,1.870405E-1,-7.354058E-4
9.458976E0,1.869756E-1,-7.092053E-4
9.492282E0,1.869733E-1,-7.039844E-4
9.525589E0,1.869660E-1,-6.917606E-4
9.558895E0,1.868970E-1,-6.899380E-4
9.592201E0,1.866173E-1,-6.601897E-4
9.625507E0,1.864796E-1,-6.719730E-4
9.658814E0,1.864657E-1,-6.858647E-4
9.692120E0,1.864926E-1,-7.025446E-4
9.725426E0,1.864956E-1,-7.082928E-4
9.758732E0,1.862238E-1,-7.390149E-4
9.792039E0,1.859031E-1,-7.690755E-4
9.825345E0,1.857174E-1,-8.327941E-4
9.858651E0,1.857039E-1,-8.761116E-4
9.891957E0,1.858006E-1,-9.251907E-4
9.925264E0,1.856932E-1,-9.446532E-4
9.958570E0,1.853552E-1,-9.931763E-4
9.991876E0,1.850888E-1,-1.101567E-3
1.002518E1,1.850482E-1,-1.137029E-3
1.005849E1,1.850883E-1,-1.188474E-3
1.009179E1,1.851080E-1,-1.259414E-3
1.012510E1,1.848279E-1,-1.276684E-3
1.015841E1,1.844459E-1,-1.335797E-3
1.019171E1,1.843115E-1,-1.410056E-3
1.022502E1,1.841728E-1,-1.453630E-3
1.025833E1,1.842194E-1,-1.461705E-3
1.029163E1,1.841448E-1,-1.457576E-3
1.032494E1,1.840196E-1,-1.440243E-3
1.035824E1,1.836999E-1,-1.427364E-3
1.039155E1,1.834196E-1,-1.430567E-3
1.042486E1,1.833977E-1,-1.418138E-3
1.045816E1,1.832981E-1,-1.333525E-3
1.049147E1,1.830263E-1,-1.286831E-3
1.052478E1,1.828801E-1,-1.283520E-3
1.055808E1,1.826115E-1,-1.229017E-3
1.059139E1,1.825396E-1,-1.148983E-3
1.062469E1,1.823974E-1,-1.070211E-3
1.065800E1,1.822697E-1,-1.039302E-3
1.069131E1,1.819757E-1,-9.408045E-4
1.072461E1,1.817289E-1,-8.728381E-4
1.075792E1,1.817285E-1,-8.451052E-4
1.079123E1,1.815796E-1,-7.801605E-4
1.082453E1,1.812526E-1,-7.089619E-4
1.085784E1,1.808391E-1,-6.868891E-4
1.089114E1,1.806461E-1,-6.922416E-4
1.092445E1,1.807018E-1,-6.954598E-4
1.095776E1,1.807551E-1,-6.769889E-4
1.099106E1,1.807113E-1,-6.914866E-4
1.102437E1,1.803060E-1,-6.811484E-4
1.105768E1,1.794813E-1,-7.426719E-4
1.109098E1,1.792476E-1,-8.240056E-4
1.112429E1,1.792685E-1,-8.731848E-4
1.115759E1,1.792867E-1,-8.981574E-4
1.119090E1,1.789767E-1,-9.593063E-4
1.122421E1,1.784700E-1,-1.029694E-3
1.125751E1,1.781581E-1,-1.150230E-3
1.129082E1,1.781154E-1,-1.228132E-3
1.132413E1,1.781140E-1,-1.265841E-3
1.135743E1,1.779130E-1,-1.330621E-3
1.139074E1,1.774302E-1,-1.380249E-3
1.142404E1,1.769070E-1,-1.420136E-3
1.145735E1,1.767191E-1,-1.467352E-3
1.149066E1,1.765425E-1,-1.547641E-3
1.152396E1,1.764608E-1,-1.561755E-3
1.155727E1,1.761978E-1,-1.530186E-3
1.159058E1,1.759854E-1,-1.513716E-3
1.162388E1,1.755630E-1,-1.507428E-3
1.165719E1,1.750884E-1,-1.493249E-3
1.169050E1,1.748899E-1,-1.452471E-3
1.172380E1,1.746484E-1,-1.363367E-3
1.175711E1,1.744777E-1,-1.311878E-3
1.179041E1,1.741158E-1,-1.227342E-3
1.182372E1,1.738501E-1,-1.173417E-3
1.185703E1,1.735015E-1,-1.087450E-3
1.189033E1,1.731753E-1,-9.800713E-4
1.192364E1,1.729652E-1,-9.450882E-4
1.195695E1,1.725322E-1,-8.639993E-4
1.199025E1,1.722192E-1,-7.777461E-4
1.202356E1,1.720273E-1,-7.297312E-4
1.205686E1,1.716545E-1,-6.953868E-4
1.209017E1,1.713906E-1,-6.377922E-4
1.212348E1,1.706197E-1,-5.823723E-4
1.215678E1,1.704390E-1,-5.912371E-4
1.219009E1,1.705167E-1,-5.922649E-4
1.222340E1,1.705373E-1,-5.934400E-4
1.225670E1,1.702501E-1,-6.073500E-4
1.229001E1,1.691542E-1,-6.578514E-4
1.232331E1,1.684762E-1,-7.595130E-4
1.235662E1,1.681624E-1,-8.655498E-4
1.238993E1,1.681101E-1,-9.166036E-4
1.242323E1,1.679347E-1,-1.003592E-3
1.245654E1,1.674775E-1,-1.067588E-3
1.248985E1,1.668747E-1,-1.160088E-3
1.252315E1,1.666985E-1,-1.221401E-3
1.255646E1,1.664647E-1,-1.358220E-3
1.258976E1,1.662727E-1,-1.456211E-3
1.262307E1,1.658951E-1,-1.446659E-3
1.265638E1,1.651867E-1,-1.460601E-3
1.268968E1,1.648401E-1,-1.503212E-3
1.272299E1,1.642692E-1,-1.563812E-3
1.275630E1,1.638730E-1,-1.575328E-3
1.278960E1,1.636967E-1,-1.531623E-3
1.282291E1,1.632672E-1,-1.449735E-3
1.285621E1,1.627286E-1,-1.426883E-3
1.288952E1,1.622764E-1,-1.408355E-3
1.292283E1,1.618342E-1,-1.380196E-3
1.295613E1,1.614820E-1,-1.313924E-3
1.298944E1,1.610354E-1,-1.148127E-3
1.302275E1,1.605334E-1,-1.054654E-3
1.305605E1,1.603172E-1,-1.001765E-3
1.308936E1,1.598366E-1,-9.143856E-4
1.312266E1,1.594456E-1,-8.415065E-4
1.315597E1,1.589914E-1,-7.252780E-4
1.318928E1,1.584058E-1,-6.331913E-4
1.322258E1,1.581533E-1,-5.960015E-4
1.325589E1,1.576315E-1,-5.264871E-4
1.328920E1,1.573221E-1,-5.129871E-4
1.332250E1,1.568565E-1,-4.932888E-4
1.335581E1,1.565611E-1,-4.880281E-4
1.338911E1,1.559036E-1,-4.787626E-4
1.342242E1,1.552721E-1,-5.211450E-4
1.345573E1,1.552122E-1,-5.838739E-4
1.348903E1,1.549448E-1,-6.647924E-4
1.352234E1,1.547104E-1,-6.984366E-4
1.355565E1,1.540317E-1,-7.491789E-4
1.358895E1,1.529328E-1,-9.080714E-4
1.362226E1,1.524482E-1,-1.035430E-3
1.365556E1,1.522920E-1,-1.075022E-3
1.368887E1,1.519624E-1,-1.167420E-3
1.372218E1,1.511938E-1,-1.268314E-3
1.375548E1,1.505991E-1,-1.369871E-3
1.378879E1,1.503716E-1,-1.436662E-3
1.382210E1,1.500712E-1,-1.501206E-3
1.385540E1,1.496365E-1,-1.588500E-3
1.388871E1,1.491216E-1,-1.601664E-3
1.392201E1,1.483450E-1,-1.588597E-3
1.395532E1,1.479567E-1,-1.580373E-3
1.398863E1,1.473238E-1,-1.580805E-3
1.402193E1,1.467043E-1,-1.561801E-3
1.405524E1,1.463304E-1,-1.477927E-3
1.408855E1,1.458456E-1,-1.359983E-3
1.412185E1,1.455614E-1,-1.312907E-3
1.415516E1,1.449352E-1,-1.226050E-3
1.418846E1,1.444768E-1,-1.189865E-3
1.422177E1,1.440423E-1,-1.118649E-3
1.425508E1,1.437842E-1,-1.048578E-3
1.428838E1,1.431964E-1,-9.286668E-4
1.432169E1,1.424029E-1,-7.924602E-4
1.435500E1,1.419259E-1,-7.675413E-4
1.438830E1,1.413969E-1,-7.409940E-4
1.442161E1,1.408922E-1,-6.795198E-4
1.445491E1,1.405993E-1,-6.671326E-4
1.448822E1,1.398882E-1,-6.584439E-4
1.452153E1,1.395066E-1,-6.994978E-4
1.455483E1,1.390186E-1,-7.453729E-4
1.458814E1,1.387103E-1,-7.568224E-4
1.462145E1,1.380127E-1,-7.795142E-4
1.465475E1,1.369477E-1,-8.439239E-4
1.468806E1,1.365050E-1,-9.213496E-4
1.472136E1,1.362420E-1,-1.048566E-3
1.475467E1,1.360677E-1,-1.074723E-3
1.478798E1,1.354846E-1,-1.130513E-3
1.482128E1,1.343435E-1,-1.206980E-3
1.485459E1,1.336107E-1,-1.300897E-3
1.488790E1,1.330218E-1,-1.412584E-3
1.492120E1,1.325371E-1,-1.479253E-3
1.495451E1,1.319248E-1,-1.485069E-3
1.498781E1,1.311968E-1,-1.463931E-3
1.502112E1,1.304973E-1,-1.443352E-3
1.505443E1,1.299725E-1,-1.480217E-3
1.508773E1,1.297805E-1,-1.532189E-3
1.512104E1,1.293119E-1,-1.548385E-3
1.515435E1,1.282857E-1,-1.461526E-3
1.518765E1,1.273380E-1,-1.360984E-3
