marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,212,7.0607,534.00,1540.00,0.107553,-0.000390,1.0000
M1,213,7.0940,534.00,1538.00,0.107340,-0.000393,1.0000
M1,214,7.1273,532.00,1535.00,0.107024,-0.000611,1.0000
M1,215,7.1606,533.00,1532.00,0.106703,-0.000509,1.0000
M1,216,7.1939,533.00,1528.00,0.106278,-0.000516,1.0000
M1,217,7.2272,535.00,1525.00,0.105955,-0.000308,1.0000
M1,218,7.2606,530.00,1523.00,0.105751,-0.000843,1.0000
M1,219,7.2939,534.00,1521.00,0.105532,-0.000420,1.0000
M1,220,7.3272,532.00,1519.00,0.105322,-0.000636,1.0000
M1,221,7.3605,533.00,1517.00,0.105108,-0.000533,1.0000
M1,222,7.3938,533.00,1512.00,0.104576,-0.000541,1.0000
M1,223,7.4271,532.00,1509.00,0.104258,-0.000653,1.0000
M1,224,7.4604,531.00,1508.00,0.104153,-0.000761,1.0000
M1,225,7.4937,531.00,1506.00,0.103941,-0.000764,1.0000
M1,226,7.5270,531.00,1501.00,0.103409,-0.000772,1.0000
M1,227,7.5603,530.00,1497.00,0.102985,-0.000885,1.0000
M1,228,7.5936,532.00,1493.00,0.102556,-0.000678,1.0000
M1,229,7.6269,532.00,1491.00,0.102343,-0.000682,1.0000
M1,230,7.6602,531.00,1487.00,0.101920,-0.000794,1.0000
M1,231,7.6935,531.00,1485.00,0.101707,-0.000798,1.0000
M1,232,7.7268,532.00,1482.00,0.101386,-0.000696,1.0000
M1,233,7.7601,531.00,1480.00,0.101175,-0.000806,1.0000
M1,234,7.7934,532.00,1479.00,0.101067,-0.000701,1.0000
M1,235,7.8267,532.00,1475.00,0.100641,-0.000707,1.0000
M1,236,7.8600,532.00,1466.00,0.099684,-0.000722,1.0000
M1,237,7.8934,532.00,1462.00,0.099258,-0.000728,1.0000
M1,238,7.9267,531.00,1462.00,0.099260,-0.000835,1.0000
M1,239,7.9600,532.00,1460.00,0.099046,-0.000732,1.0000
M1,240,7.9933,532.00,1460.00,0.099046,-0.000732,1.0000
M1,241,8.0266,531.00,1452.00,0.098196,-0.000851,1.0000
M1,242,8.0599,533.00,1446.00,0.097555,-0.000648,1.0000
M1,243,8.0932,532.00,1443.00,0.097237,-0.000759,1.0000
M1,244,8.1265,532.00,1439.00,0.096812,-0.000765,1.0000
M1,245,8.1598,533.00,1432.00,0.096066,-0.000670,1.0000
M1,246,8.1931,533.00,1428.00,0.095640,-0.000677,1.0000
M1,247,8.2264,532.00,1424.00,0.095216,-0.000790,1.0000
M1,248,8.2597,533.00,1419.00,0.094683,-0.000691,1.0000
M1,249,8.2930,533.00,1416.00,0.094363,-0.000696,1.0000
M1,250,8.3263,532.00,1412.00,0.093940,-0.000809,1.0000
M1,251,8.3596,533.00,1408.00,0.093512,-0.000709,1.0000
M1,252,8.3929,534.00,1404.00,0.093085,-0.000609,1.0000
M1,253,8.4262,533.00,1400.00,0.092661,-0.000722,1.0000
M1,254,8.4595,534.00,1394.00,0.092022,-0.000625,1.0000
M1,255,8.4928,535.00,1384.00,0.090956,-0.000535,1.0000
M1,256,8.5262,533.00,1381.00,0.090640,-0.000752,1.0000
M1,257,8.5595,534.00,1377.00,0.090213,-0.000653,1.0000
M1,258,8.5928,535.00,1375.00,0.089999,-0.000549,1.0000
M1,259,8.6261,535.00,1368.00,0.089254,-0.000561,1.0000
M1,260,8.6594,535.00,1361.00,0.088509,-0.000572,1.0000
M1,261,8.6927,535.00,1356.00,0.087978,-0.000580,1.0000
M1,262,8.7260,536.00,1351.00,0.087444,-0.000482,1.0000
M1,263,8.7593,534.00,1348.00,0.087128,-0.000699,1.0000
M1,264,8.7926,533.00,1342.00,0.086491,-0.000815,1.0000
M1,265,8.8259,534.00,1334.00,0.085639,-0.000722,1.0000
M1,266,8.8592,533.00,1329.00,0.085109,-0.000836,1.0000
M1,267,8.8925,535.00,1322.00,0.084361,-0.000635,1.0000
M1,268,8.9258,533.00,1320.00,0.084151,-0.000851,1.0000
M1,269,8.9591,534.00,1314.00,0.083511,-0.000754,1.0000
M1,270,8.9924,533.00,1306.00,0.082662,-0.000873,1.0000
M1,271,9.0257,533.00,1303.00,0.082343,-0.000878,1.0000
M1,272,9.0590,533.00,1298.00,0.081811,-0.000886,1.0000
M1,273,9.0923,534.00,1295.00,0.081490,-0.000785,1.0000
M1,274,9.1256,533.00,1289.00,0.080853,-0.000901,1.0000
M1,275,9.1590,531.00,1283.00,0.080218,-0.001123,1.0000
M1,276,9.1923,533.00,1281.00,0.080002,-0.000914,1.0000
M1,277,9.2256,534.00,1280.00,0.079894,-0.000809,1.0000
M1,278,9.2589,533.00,1279.00,0.079790,-0.000917,1.0000
M1,279,9.2922,533.00,1272.00,0.079045,-0.000928,1.0000
M1,280,9.3255,535.00,1264.00,0.078191,-0.000728,1.0000
M1,281,9.3588,533.00,1259.00,0.077662,-0.000949,1.0000
M1,282,9.3921,533.00,1254.00,0.077130,-0.000957,1.0000
M1,283,9.4254,533.00,1252.00,0.076917,-0.000960,1.0000
M1,284,9.4587,533.00,1243.00,0.075960,-0.000975,1.0000
M1,285,9.4920,533.00,1235.00,0.075109,-0.000988,1.0000
M1,286,9.5253,533.00,1227.00,0.074258,-0.001001,1.0000
M1,287,9.5586,535.00,1225.00,0.074042,-0.000791,1.0000
M1,288,9.5919,534.00,1220.00,0.073512,-0.000906,1.0000
M1,289,9.6252,535.00,1213.00,0.072765,-0.000811,1.0000
M1,290,9.6585,534.00,1206.00,0.072022,-0.000928,1.0000
M1,291,9.6918,535.00,1197.00,0.071063,-0.000836,1.0000
M1,292,9.7251,534.00,1188.00,0.070108,-0.000957,1.0000
M1,293,9.7584,535.00,1182.00,0.069468,-0.000860,1.0000
M1,294,9.7918,535.00,1175.00,0.068723,-0.000872,1.0000
M1,295,9.8251,534.00,1168.00,0.067980,-0.000989,1.0000
M1,296,9.8584,533.00,1161.00,0.067237,-0.001107,1.0000
M1,297,9.8917,533.00,1152.00,0.066280,-0.001122,1.0000
M1,298,9.9250,533.00,1144.00,0.065429,-0.001134,1.0000
M1,299,9.9583,532.00,1140.00,0.065005,-0.001247,1.0000
M1,300,9.9916,534.00,1129.00,0.063831,-0.001052,1.0000
M1,301,10.0249,534.00,1120.00,0.062874,-0.001067,1.0000
M1,302,10.0582,533.00,1110.00,0.061812,-0.001189,1.0000
M1,303,10.0915,532.00,1104.00,0.061175,-0.001305,1.0000
M1,304,10.1248,532.00,1095.00,0.060218,-0.001320,1.0000
M1,305,10.1581,533.00,1086.00,0.059259,-0.001228,1.0000
M1,306,10.1914,533.00,1070.00,0.057557,-0.001254,1.0000
M1,307,10.2247,534.00,1061.00,0.056598,-0.001162,1.0000
M1,308,10.2580,534.00,1050.00,0.055427,-0.001180,1.0000
M1,309,10.2913,534.00,1046.00,0.055002,-0.001186,1.0000
M1,310,10.3246,535.00,1037.00,0.054043,-0.001094,1.0000
M1,311,10.3579,536.00,1025.00,0.052765,-0.001007,1.0000
M1,312,10.3912,537.00,1016.00,0.051806,-0.000915,1.0000
M1,313,10.4246,536.00,1007.00,0.050850,-0.001036,1.0000
M1,314,10.4579,537.00,1002.00,0.050316,-0.000938,1.0000
M1,315,10.4912,538.00,992.00,0.049251,-0.000848,1.0000
M1,316,10.5245,538.00,994.00,0.049464,-0.000844,1.0000
M1,317,10.5578,540.00,999.00,0.049992,-0.000624,1.0000
M1,318,10.5911,540.00,1002.00,0.050312,-0.000619,1.0000
M1,319,10.6244,539.00,1011.00,0.051271,-0.000711,1.0000
M1,320,10.6577,537.00,1022.00,0.052444,-0.000906,1.0000
M1,321,10.6910,538.00,1032.00,0.053506,-0.000783,1.0000
M1,322,10.7243,537.00,1035.00,0.053827,-0.000885,1.0000
M1,323,10.7576,538.00,1035.00,0.053825,-0.000778,1.0000
M1,324,10.7909,537.00,1034.00,0.053721,-0.000886,1.0000
M1,325,10.8242,536.00,1032.00,0.053509,-0.000996,1.0000
M1,326,10.8575,537.00,1028.00,0.053082,-0.000896,1.0000
M1,327,10.8908,537.00,1026.00,0.052870,-0.000899,1.0000
M1,328,10.9241,536.00,1026.00,0.052871,-0.001006,1.0000
M1,329,10.9574,537.00,1027.00,0.052976,-0.000898,1.0000
M1,330,10.9907,535.00,1031.00,0.053405,-0.001104,1.0000
M1,331,11.0240,536.00,1034.00,0.053722,-0.000993,1.0000
M1,332,11.0574,535.00,1035.00,0.053830,-0.001097,1.0000
M1,333,11.0907,535.00,1035.00,0.053830,-0.001097,1.0000
M1,334,11.1240,536.00,1034.00,0.053722,-0.000993,1.0000
M1,335,11.1573,535.00,1032.00,0.053511,-0.001102,1.0000
M1,336,11.1906,535.00,1031.00,0.053405,-0.001104,1.0000
M1,337,11.2239,536.00,1031.00,0.053403,-0.000997,1.0000
M1,338,11.2572,537.00,1031.00,0.053401,-0.000891,1.0000
M1,339,11.2905,536.00,1032.00,0.053509,-0.000996,1.0000
M1,340,11.3238,537.00,1033.00,0.053614,-0.000888,1.0000
M1,341,11.3571,537.00,1033.00,0.053614,-0.000888,1.0000
M1,342,11.3904,538.00,1033.00,0.053613,-0.000781,1.0000
M1,343,11.4237,537.00,1033.00,0.053614,-0.000888,1.0000
M1,344,11.4570,537.00,1032.00,0.053508,-0.000889,1.0000
M1,345,11.4903,536.00,1032.00,0.053509,-0.000996,1.0000
M1,346,11.5236,537.00,1032.00,0.053508,-0.000889,1.0000
M1,347,11.5569,538.00,1031.00,0.053400,-0.000785,1.0000
M1,348,11.5902,538.00,1032.00,0.053506,-0.000783,1.0000
M1,349,11.6235,538.00,1032.00,0.053506,-0.000783,1.0000
M1,350,11.6568,537.00,1032.00,0.053508,-0.000889,1.0000
M1,351,11.6902,537.00,1032.00,0.053508,-0.000889,1.0000
M1,352,11.7235,538.00,1032.00,0.053506,-0.000783,1.0000
M1,353,11.7568,537.00,1032.00,0.053508,-0.000889,1.0000
M1,354,11.7901,538.00,1032.00,0.053506,-0.000783,1.0000
M1,355,11.8234,537.00,1032.00,0.053508,-0.000889,1.0000
M1,356,11.8567,537.00,1032.00,0.053508,-0.000889,1.0000
M1,357,11.8900,537.00,1032.00,0.053508,-0.000889,1.0000
M1,358,11.9233,537.00,1032.00,0.053508,-0.000889,1.0000
M1,359,11.9566,537.00,1032.00,0.053508,-0.000889,1.0000
M1,360,11.9899,536.00,1032.00,0.053509,-0.000996,1.0000
M1,361,12.0232,536.00,1032.00,0.053509,-0.000996,1.0000
M1,362,12.0565,537.00,1032.00,0.053508,-0.000889,1.0000
