marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,195,5.1769,544.00,1484.00,0.149051,-0.000666,1.0000
M1,196,5.2034,544.00,1483.00,0.148904,-0.000663,1.0000
M1,197,5.2300,544.00,1485.00,0.149197,-0.000669,1.0000
M1,198,5.2565,545.00,1489.00,0.149787,-0.000535,1.0000
M1,199,5.2830,545.00,1491.00,0.150080,-0.000542,1.0000
M1,200,5.3096,543.00,1495.00,0.150660,-0.000847,1.0000
M1,201,5.3361,545.00,1499.00,0.151253,-0.000567,1.0000
M1,202,5.3627,546.00,1501.00,0.151549,-0.000426,1.0000
M1,203,5.3892,546.00,1501.00,0.151549,-0.000426,1.0000
M1,204,5.4158,546.00,1501.00,0.151549,-0.000426,1.0000
M1,205,5.4423,546.00,1501.00,0.151549,-0.000426,1.0000
M1,206,5.4689,546.00,1501.00,0.151549,-0.000426,1.0000
M1,207,5.4954,546.00,1503.00,0.151842,-0.000433,1.0000
M1,208,5.5220,546.00,1505.00,0.152135,-0.000439,1.0000
M1,209,5.5485,546.00,1508.00,0.152575,-0.000448,1.0000
M1,210,5.5751,547.00,1511.00,0.153018,-0.000311,1.0000
M1,211,5.6016,547.00,1512.00,0.153164,-0.000314,1.0000
M1,212,5.6282,547.00,1513.00,0.153311,-0.000317,1.0000
M1,213,5.6547,548.00,1513.00,0.153314,-0.000171,1.0000
M1,214,5.6813,548.00,1514.00,0.153461,-0.000174,1.0000
M1,215,5.7078,548.00,1515.00,0.153607,-0.000177,1.0000
M1,216,5.7344,548.00,1517.00,0.153900,-0.000183,1.0000
M1,217,5.7609,548.00,1517.00,0.153900,-0.000183,1.0000
M1,218,5.7875,548.00,1521.00,0.154487,-0.000196,1.0000
M1,219,5.8140,548.00,1522.00,0.154633,-0.000199,1.0000
M1,220,5.8406,549.00,1524.00,0.154930,-0.000058,1.0000
M1,221,5.8671,549.00,1523.00,0.154783,-0.000055,1.0000
M1,222,5.8937,549.00,1523.00,0.154783,-0.000055,1.0000
M1,223,5.9202,549.00,1524.00,0.154930,-0.000058,1.0000
M1,224,5.9467,549.00,1523.00,0.154783,-0.000055,1.0000
M1,225,5.9733,549.00,1526.00,0.155223,-0.000065,1.0000
M1,226,5.9998,548.00,1528.00,0.155513,-0.000217,1.0000
M1,227,6.0264,549.00,1532.00,0.156102,-0.000083,1.0000
M1,228,6.0529,549.00,1533.00,0.156249,-0.000087,1.0000
M1,229,6.0795,549.00,1534.00,0.156396,-0.000090,1.0000
M1,230,6.1060,548.00,1534.00,0.156392,-0.000236,1.0000
M1,231,6.1326,549.00,1534.00,0.156396,-0.000090,1.0000
M1,232,6.1591,548.00,1534.00,0.156392,-0.000236,1.0000
M1,233,6.1857,549.00,1535.00,0.156542,-0.000093,1.0000
M1,234,6.2122,548.00,1536.00,0.156686,-0.000243,1.0000
M1,235,6.2388,548.00,1538.00,0.156979,-0.000249,1.0000
M1,236,6.2653,548.00,1541.00,0.157419,-0.000258,1.0000
M1,237,6.2919,548.00,1543.00,0.157712,-0.000264,1.0000
M1,238,6.3184,548.00,1543.00,0.157712,-0.000264,1.0000
M1,239,6.3450,548.00,1543.00,0.157712,-0.000264,1.0000
M1,240,6.3715,548.00,1543.00,0.157712,-0.000264,1.0000
M1,241,6.3981,548.00,1543.00,0.157712,-0.000264,1.0000
M1,242,6.4246,548.00,1543.00,0.157712,-0.000264,1.0000
M1,243,6.4512,548.00,1543.00,0.157712,-0.000264,1.0000
M1,244,6.4777,548.00,1543.00,0.157712,-0.000264,1.0000
M1,245,6.5043,548.00,1543.00,0.157712,-0.000264,1.0000
M1,246,6.5308,547.00,1545.00,0.158002,-0.000417,1.0000
M1,247,6.5574,547.00,1546.00,0.158148,-0.000420,1.0000
M1,248,6.5839,547.00,1548.00,0.158441,-0.000427,1.0000
M1,249,6.6104,547.00,1550.00,0.158735,-0.000433,1.0000
M1,250,6.6370,547.00,1551.00,0.158881,-0.000436,1.0000
M1,251,6.6635,547.00,1551.00,0.158881,-0.000436,1.0000
M1,252,6.6901,547.00,1552.00,0.159028,-0.000439,1.0000
M1,253,6.7166,547.00,1553.00,0.159174,-0.000442,1.0000
M1,254,6.7432,546.00,1553.00,0.159171,-0.000589,1.0000
M1,255,6.7697,547.00,1552.00,0.159028,-0.000439,1.0000
M1,256,6.7963,547.00,1553.00,0.159174,-0.000442,1.0000
M1,257,6.8228,547.00,1554.00,0.159321,-0.000445,1.0000
M1,258,6.8494,547.00,1555.00,0.159468,-0.000448,1.0000
M1,259,6.8759,547.00,1557.00,0.159761,-0.000455,1.0000
M1,260,6.9025,548.00,1558.00,0.159910,-0.000311,1.0000
M1,261,6.9290,548.00,1559.00,0.160057,-0.000314,1.0000
M1,262,6.9556,547.00,1559.00,0.160054,-0.000461,1.0000
M1,263,6.9821,548.00,1558.00,0.159910,-0.000311,1.0000
M1,264,7.0087,548.00,1558.00,0.159910,-0.000311,1.0000
