R,k,m,I,final_com_velocity,end_time,motor_angle,bottom_height
6.000000000000000125e-03,5.000000000000000000e+05,1.440000000000000036e-04,3.006719999999999725e-09,7.573706510406139181e+00,3.706192137953499138e-02,2.565041429057301414e+01,9.249999999999997113e-02
7.000000000000000146e-03,1.000000000000000000e+04,1.959999999999999937e-04,5.570319999999999020e-09,6.646939979725208225e+00,4.469495817160820672e-02,3.158577062628862464e+01,9.249999999999997113e-02
7.000000000000000146e-03,1.083110727436042180e+04,1.959999999999999937e-04,5.570319999999999020e-09,6.744220610402159366e+00,4.409195291838449715e-02,3.087944480379703904e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.173128847887029951e+04,1.959999999999999937e-04,5.570319999999999020e-09,6.837955179029083119e+00,4.351185350770007954e-02,3.020787984990354147e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.270628439811126918e+04,1.959999999999999937e-04,5.570319999999999020e-09,6.927788995236425329e+00,4.295436995406213404e-02,2.957032718508999736e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.376231293744750110e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.013015659118774892e+00,4.241922765386591659e-02,2.896601879430797055e+01,9.250000000000001277e-02
7.000000000000000146e-03,1.490610877688121582e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.092789676361858753e+00,4.190615066288441715e-02,2.839410124999803386e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.614496632056855196e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.166524711970992279e+00,4.141486757431019766e-02,2.785369227511852586e+01,9.250000000000042910e-02
7.000000000000000146e-03,1.748678621590140392e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.234096470300992010e+00,4.094514877003695846e-02,2.734401574107033284e+01,9.249999999999997113e-02
7.000000000000000146e-03,1.894012573882348443e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.295631934958441533e+00,4.049681789908679552e-02,2.686447413763157854e+01,9.249999999999995726e-02
7.000000000000000146e-03,2.051425336670720935e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.351126197384736827e+00,4.006972905137828195e-02,2.641459111711827390e+01,9.249999999999997113e-02
7.000000000000000146e-03,2.221920788682152124e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.400311192899801327e+00,3.966375413687674850e-02,2.599390472801196239e+01,9.250000000000001277e-02
7.000000000000000146e-03,2.406586241734785290e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.442780012968111869e+00,3.927876257055917808e-02,2.560194692671571914e+01,9.250000000000001277e-02
7.000000000000000146e-03,2.606599374922933930e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.477877485833936966e+00,3.891460929301331778e-02,2.523822888242133544e+01,9.249999999999998501e-02
7.000000000000000146e-03,2.823235745107105686e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.504643926733773895e+00,3.857107834785915290e-02,2.490209179959290253e+01,9.249999999999999889e-02
7.000000000000000146e-03,3.057876921606393807e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.522870922287499873e+00,3.824787781409656751e-02,2.459269724238233934e+01,9.249999999999999889e-02
7.000000000000000146e-03,3.312019296970979485e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.533691208197330624e+00,3.794481619177941800e-02,2.430948730721884843e+01,9.249999999999998501e-02
7.000000000000000146e-03,3.587283630024446029e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.537524727251272871e+00,3.766183085488899324e-02,2.405226660048924714e+01,9.249999999999999889e-02
7.000000000000000146e-03,3.885425382035175426e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.533399216422784761e+00,3.739875192275625426e-02,2.382047926285419948e+01,9.249999999999998501e-02
7.000000000000000146e-03,4.208345911934581090e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.522083293538482707e+00,3.715525542496366657e-02,2.361319083685754805e+01,9.249999999999940214e-02
7.000000000000000146e-03,4.558104601977957645e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.505082273140213367e+00,3.693108562969663056e-02,2.342984905046246169e+01,9.249999999999995726e-02
7.000000000000000146e-03,4.936931991177907184e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.481647066279392355e+00,3.672592607815977628e-02,2.326957844240293838e+01,9.250000000000001277e-02
7.000000000000000146e-03,5.347244000266970397e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.453317860270414208e+00,3.653932804339537349e-02,2.313118714386035535e+01,9.249999999999998501e-02
7.000000000000000146e-03,5.791657338907157828e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.421798049777040163e+00,3.637088204801784685e-02,2.301383441971689336e+01,9.249999999999998501e-02
7.000000000000000146e-03,6.273006193404024089e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.387374370710396931e+00,3.621994038131921834e-02,2.291617829040449195e+01,9.249999999999997113e-02
7.000000000000000146e-03,6.794360301348615030e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.353278429804404936e+00,3.608575251343325990e-02,2.283661810595969754e+01,9.249999999999998501e-02
7.000000000000000146e-03,7.359044528456265107e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.322261767892384476e+00,3.596751968899104812e-02,2.277355752894272811e+01,9.249999999999998501e-02
