sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,0.5,0.16722222223,391.25918506582883,0.3758620689655172,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999007856998,0.007263276153196135,0.05550830577402649,0.049999999999538795,1.7621367196549294,
mass,0.5,0.16722222223,391.25918506582883,0.3758620689655172,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999007858294,0.00726327615305618,0.05550830577449757,0.050000000000000044,1.7621367196803834,
mass,0.5,0.16722222223,391.25918506582883,0.3758620689655172,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.17999997851782243,0.0010000015945853184,0.3317300370312582,0.05000000488148293,0.3657633970144638,
mass,0.5,0.16722222223,391.25918506582883,0.3758620689655172,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999002006767,0.007263276151709358,0.05550830577129533,0.049999999999998,1.7621367197135946,
mass,0.5,0.16722222223,391.25918506582883,0.3913793103448276,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999007668403,0.007152729556179014,0.05627876393711306,0.04999999999999295,1.731888996860921,
mass,0.5,0.16722222223,391.25918506582883,0.3913793103448276,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999465053404,0.007152729549405492,0.056278764498564685,0.050000000002340866,1.7318889946608131,
mass,0.5,0.16722222223,391.25918506582883,0.3913793103448276,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999004186588,0.0071527295556293715,0.056278763934206784,0.049999999998432305,1.7318889968057347,
mass,0.5,0.16722222223,391.25918506582883,0.3913793103448276,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999650819251,0.007152729534396212,0.05627876476064784,0.050000000003567364,1.7318889938004345,
mass,0.5,0.16722222223,391.25918506582883,0.4068965517241379,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999002416583,0.007047286274800482,0.057035034621796425,0.0500000000003101,1.7031381458273214,
mass,0.5,0.16722222223,391.25918506582883,0.4068965517241379,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999110522095,0.007047286282816476,0.05703503472854207,0.05000000000000208,1.7031381452601868,
mass,0.5,0.16722222223,391.25918506582883,0.4068965517241379,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,False,nan,nan,nan,nan,nan,Error in Opti::solve [OptiNode] at .../casadi/core
mass,0.5,0.16722222223,391.25918506582883,0.4068965517241379,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999025272485,0.0070472862798216605,0.057035034634858026,0.04999999999998041,1.703138145678606,
mass,0.5,0.16722222223,391.25918506582883,0.42241379310344823,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999008932761,0.006946515176592065,0.057778102222320875,0.05000000000000153,1.6757551831890827,
mass,0.5,0.16722222223,391.25918506582883,0.42241379310344823,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.0999999900896734,0.006946515176587622,0.05777810222235637,0.04999999999990641,1.6757551831843094,
mass,0.5,0.16722222223,391.25918506582883,0.42241379310344823,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,False,nan,nan,nan,nan,nan,Error in Opti::solve [OptiNode] at .../casadi/core
mass,0.5,0.16722222223,391.25918506582883,0.42241379310344823,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999147719478,0.006946515184407213,0.05777810236792639,0.050000000000014706,1.6757551825263277,
mass,0.5,0.16722222223,391.25918506582883,0.4379310344827586,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.10000000013407584,0.006850049064778182,0.05850881987496634,0.05000000497259734,1.6496265482498855,
mass,0.5,0.16722222223,391.25918506582883,0.4379310344827586,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999086444003,0.006850035957260042,0.05850885543593756,0.05000000000000109,1.6496265078234191,
mass,0.5,0.16722222223,391.25918506582883,0.4379310344827586,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.10000005028967077,0.014999968956775547,0.05244184718609955,0.0499999987500713,1.41216934927661,
mass,0.5,0.16722222223,391.25918506582883,0.4379310344827586,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999003220886,0.006850035949594705,0.05850885535487151,0.04999999999037206,1.6496265076973697,
mass,0.5,0.16722222223,391.25918506582883,0.45344827586206893,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999362580925,0.006757511600896943,0.059228099657181184,0.05000000000092426,1.6246515956297098,
mass,0.5,0.16722222223,391.25918506582883,0.45344827586206893,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.10000003281815134,0.0067575117692671455,0.059228103998742454,0.04999999994640894,1.6246515757297937,
mass,0.5,0.16722222223,391.25918506582883,0.45344827586206893,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.0999999976097482,0.006757511644904341,0.059228100015972805,0.04999999999925636,1.6246515937673822,
mass,0.5,0.16722222223,391.25918506582883,0.45344827586206893,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.0999999900448754,0.0067575115741673715,0.059228099294467505,0.050000000000022825,1.6246515971372548,
mass,0.5,0.16722222223,391.25918506582883,0.4689655172413793,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999010152578,0.0066686420621486055,0.05993656644670465,0.05000000000000008,1.6007411098088609,
mass,0.5,0.16722222223,391.25918506582883,0.4689655172413793,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999504263152,0.006668642104801989,0.059936566933069424,0.05000000000137553,1.600741107822193,
mass,0.5,0.16722222223,391.25918506582883,0.4689655172413793,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999049943248,0.015000009884800724,0.05391420316862667,0.050000004985861456,1.3527337057435915,
mass,0.5,0.16722222223,391.25918506582883,0.4689655172413793,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999005172121,0.00666864206161004,0.05993656644215053,0.049999999999999996,1.600741109829906,
mass,0.5,0.16722222223,391.25918506582883,0.4844827586206896,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999011809797,0.006583157302593387,0.06063493445538129,0.05000000249141688,1.5778152384618842,
