sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,2.0,0.66888888892,1565.0367402633153,0.3293103448275862,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999006442212,0.00573364075024798,0.03070735197360309,0.08000000000023336,6.102419476472165,
mass,2.0,0.66888888892,1565.0367402633153,0.3448275862068965,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.16000000128310018,0.005649970332739982,0.031084171681373365,0.08000000000462938,6.002650648451317,
mass,2.0,0.66888888892,1565.0367402633153,0.3448275862068965,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999006906396,0.005649971341743805,0.03108416904557554,0.07999999999999978,6.002650680254674,
mass,2.0,0.66888888892,1565.0367402633153,0.3448275862068965,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.16000001682065834,0.005649969190573192,0.031084174793816144,0.07999999999976704,6.002650602340691,
mass,2.0,0.66888888892,1565.0367402633153,0.3448275862068965,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999220229366,0.0056499711719653,0.031084169500006576,0.0799999999936473,6.002650673077357,
mass,2.0,0.66888888892,1565.0367402633153,0.3603448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999988615188,0.005571104556304461,0.03144985969053175,0.080000002124474,5.9086682105857,
mass,2.0,0.66888888892,1565.0367402633153,0.3603448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999007077545,0.00557118125138774,0.03144969359053886,0.07999999999997333,5.908668179335711,
mass,2.0,0.66888888892,1565.0367402633153,0.3603448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999012838728,0.005571181247040015,0.03144969360255634,0.07999999999998979,5.908668179175547,
mass,2.0,0.66888888892,1565.0367402633153,0.3603448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999007047236,0.005571181251466066,0.031449693590357576,0.0799999999999964,5.908668179339416,
mass,2.0,0.66888888892,1565.0367402633153,0.3758620689655172,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.1599999903193857,0.005496786238697144,0.03180475893263482,0.07999999976457053,5.819908651952966,
mass,2.0,0.66888888892,1565.0367402633153,0.3758620689655172,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999007352053,0.005496786185882466,0.03180475905048011,0.07999999999762734,5.819908683436878,
mass,2.0,0.66888888892,1565.0367402633153,0.3758620689655172,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999006832508,0.005496786188904693,0.03180475904361887,0.07999999999908505,5.819908683550856,
mass,2.0,0.66888888892,1565.0367402633153,0.3758620689655172,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999007275226,0.0054967861891594165,0.03180475903593964,0.079999999881479,5.819908669560846,
mass,2.0,0.66888888892,1565.0367402633153,0.3913793103448276,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999032940987,0.005426367787073945,0.03215010554592668,0.07999999999999996,5.735884083362128,
mass,2.0,0.66888888892,1565.0367402633153,0.3913793103448276,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999007577032,0.005426367804595082,0.032150105494630286,0.0799999999997504,5.735884084008577,
mass,2.0,0.66888888892,1565.0367402633153,0.3913793103448276,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.16000017434720934,0.005426355020453341,0.032150142873961986,0.07999999999994661,5.735883595988679,
mass,2.0,0.66888888892,1565.0367402633153,0.3913793103448276,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999900750005,0.00542636780473422,0.03215010549429824,0.08000000000000472,5.735884084035974,
mass,2.0,0.66888888892,1565.0367402633153,0.4068965517241379,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.16000034629383333,0.005359538891015113,0.03248646437038797,0.07999999999759466,5.656167993504832,
mass,2.0,0.66888888892,1565.0367402633153,0.4068965517241379,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999007818969,0.005359562483811328,0.0324863934077274,0.07999999999999541,5.65616890987596,
mass,2.0,0.66888888892,1565.0367402633153,0.4068965517241379,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.16000009733157758,0.005359555178305393,0.032486415303873944,0.08000000021438888,5.6561686296667615,
mass,2.0,0.66888888892,1565.0367402633153,0.4068965517241379,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999007723767,0.005359562483873708,0.032486393407539574,0.07999999999999995,5.656168909878962,
mass,2.0,0.66888888892,1565.0367402633153,0.42241379310344823,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999257331585,0.005296052236169285,0.032814215375448125,0.07999999999971245,5.580390260568076,
mass,2.0,0.66888888892,1565.0367402633153,0.42241379310344823,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999008044555,0.005296052390974554,0.03281421489313979,0.0799999999784957,5.580390264643683,
mass,2.0,0.66888888892,1565.0367402633153,0.42241379310344823,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1599999900793301,0.005296052394048119,0.03281421488732134,0.07999999999997605,5.580390266830519,
mass,2.0,0.66888888892,1565.0367402633153,0.42241379310344823,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999900794673,0.005296052394050176,0.03281421488732459,0.07999999999999993,5.58039026683295,
mass,2.0,0.66888888892,1565.0367402633153,0.4379310344827586,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999007217364,0.0052355582671746725,0.03313410299421238,0.07999999999793278,5.508219692888281,
mass,2.0,0.66888888892,1565.0367402633153,0.4379310344827586,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999008269306,0.005235558267560709,0.033134102993940685,0.07999999999997905,5.508219693087775,
mass,2.0,0.66888888892,1565.0367402633153,0.4379310344827586,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999435242607,0.005235557966730575,0.0331341040728887,0.0800000008488123,5.508219702567634,
mass,2.0,0.66888888892,1565.0367402633153,0.4379310344827586,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999985127541,0.005235557722175544,0.03313410469618145,0.07999999996136463,5.508219668665632,
mass,2.0,0.66888888892,1565.0367402633153,0.45344827586206893,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.16000021719023585,0.005177820352865179,0.033446582485834014,0.0799999999969231,5.43936597670417,
mass,2.0,0.66888888892,1565.0367402633153,0.45344827586206893,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999008465982,0.005177833534192393,0.03344653950721562,0.07999999999531869,5.43936651417448,
mass,2.0,0.66888888892,1565.0367402633153,0.45344827586206893,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.16000016275888113,0.005177823499752508,0.033446572170487125,0.07999999968349061,5.439366088364617,
mass,2.0,0.66888888892,1565.0367402633153,0.45344827586206893,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999008390153,0.0051778335343065284,0.03344653950721142,0.07999999999999982,5.439366514694395,
mass,2.0,0.66888888892,1565.0367402633153,0.4689655172413793,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.1600001643403425,0.005122516129982244,0.03375232501832669,0.07999999988345219,5.373571976193885,
mass,2.0,0.66888888892,1565.0367402633153,0.4689655172413793,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999008569887,0.0051226595111164355,0.033751961447225955,0.07999999995298329,5.373572378483611,
mass,2.0,0.66888888892,1565.0367402633153,0.4689655172413793,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1600009685997882,0.005122605133331265,0.033752143127683445,0.07999999831413179,5.373570083181958,
mass,2.0,0.66888888892,1565.0367402633153,0.4689655172413793,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999386599126,0.005122659297907343,0.03375196216100742,0.07999999999531227,5.373572373849493,
mass,2.0,0.66888888892,1565.0367402633153,0.4844827586206896,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.160000013155978,0.005069840138192651,0.03405077141073094,0.08000000227111885,5.310606756498635,
mass,2.0,0.66888888892,1565.0367402633153,0.4844827586206896,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999433681522,0.0050698412170434946,0.03405076734725469,0.07999999999020381,5.310606742625686,
