radius_mm,payload_mass_g,model_velocity_m_s,moving_mass_kg,model_max_kinetic_energy_j,inertia_kg_m2,torque_cap_nm,friction_nm
11,20.0,7.83475899442748,0.0375,1.1509396593892929,5e-05,0.26,0.0
11,30.0,7.391323009542281,0.0475,1.2975018259954925,5e-05,0.26,0.0
11,40.0,7.014161515939306,0.0575,1.4144557759359144,5e-05,0.26,0.0
11,50.0,6.688101199429475,0.0675,1.509661045816087,5e-05,0.26,0.0
11,60.0,6.402431633568394,0.0775,1.5884063193725437,5e-05,0.26,0.0
11,70.0,6.149347298750881,0.0875,1.6543831587786455,5e-05,0.26,0.0
11,80.0,5.923006748919804,0.0975,1.7102479362027907,5e-05,0.26,0.0
11,90.0,5.718939346285625,0.1075,1.7579618644990445,5e-05,0.26,0.0
11,100.0,5.533657329225853,0.1175,1.7990051019410809,5e-05,0.26,0.0
11,110.0,5.364394175310122,0.1275,1.8345162103414492,5e-05,0.26,0.0
11,120.0,5.208923369897331,0.1375,1.8653856838005516,5e-05,0.26,0.0
11,130.0,5.065429915147088,0.1475,1.8923202916134436,5e-05,0.26,0.0
11,140.0,4.932417347388347,0.1575,1.9158883449943775,5e-05,0.26,0.0
11,150.0,4.8086392175808355,0.1675,1.9365521817067262,5e-05,0.26,0.0
11,160.0,4.693047773641837,0.1775,1.9546918947545084,5e-05,0.26,0.0
11,170.0,4.584754962180576,0.1875,1.9706229434286953,5e-05,0.26,0.0
11,180.0,4.483002399601714,0.1975,1.9846094133399295,5e-05,0.26,0.0
11,190.0,4.387137971677176,0.2075,1.9968741316876664,5e-05,0.26,0.0
11,200.0,4.296597398560368,0.2175,2.0076064760780845,5e-05,0.26,0.0
11,210.0,4.210889565857795,0.2275,2.0169684689529435,5e-05,0.26,0.0
11,220.0,4.12958474474744,0.2375,2.02509958198103,5e-05,0.26,0.0
