radius_mm,payload_mass_g,pixels_per_meter,original_max_velocity_m_s,corrected_max_velocity_m_s,corrected_max_raw_velocity_m_s,common_loss_model_velocity_m_s,common_loss_residual_m_s
9,110,11565.217391304348,5.157964,4.763166454736842,4.7747669422556385,4.581123263734199,-0.1820431910026432
9,120,11565.217391304348,5.108443,4.717435859097744,4.777634281353383,4.431466932968456,-0.28596892612928837
9,130,11565.217391304348,4.911627,4.5356844221052635,4.553941199548872,4.295716004515026,-0.23996841759023724
9,140,11565.217391304348,4.77372,4.408333010526316,4.4457515548872175,4.171727414590534,-0.23660559593578157
9,150,11565.217391304348,4.646874,4.291195975037594,4.311240568421053,4.057800329017221,-0.233395646020373
9,160,11565.217391304348,4.581262,4.230606006315789,4.2940476153383464,3.952564516755834,-0.2780414895599548
9,170,11565.217391304348,4.481236,4.1382361317293235,4.168115559699248,3.8549014683544756,-0.2833346633748479
9,180,11565.217391304348,4.331993,4.000416392932331,4.042515949172932,3.7638874543082452,-0.23652893862408542
9,190,11565.217391304348,4.277212,3.9498284048120293,3.969055737293233,3.678751640187519,-0.27107676462451025
9,200,11565.217391304348,4.128932,3.812897956691729,3.829418631879699,3.5988447565720554,-0.21405320011967355
9,210,11565.217391304348,4.068817,3.757384240150376,3.8153672851127816,3.523615309462562,-0.2337689306878139
9,220,11565.217391304348,3.964172,3.660748910075188,3.690945084360902,3.4525912701691914,-0.20815763990599656
11,20,11173.913043478262,7.884788,7.53626196233463,7.642102216809338,7.6848560095702805,0.14859404723565017
11,30,11173.913043478262,7.380227,7.0540037364980535,7.208804726381323,6.924364660721606,-0.1296390757764474
11,40,11173.913043478262,6.576659,6.285955318132295,6.452364470661478,6.365063626312969,0.0791083081806736
11,50,11173.913043478262,6.251304,5.974981768715953,6.053014045914396,5.929401516813351,-0.045580251902602065
11,60,11173.913043478262,5.863321,5.60414852311284,5.62388861229572,5.576391226296622,-0.027757296816217192
11,70,11173.913043478262,5.445853,5.205133583346303,5.244402530428015,5.282000556897563,0.07686697355125993
11,80,11173.913043478262,5.18143,4.952398697276264,5.0189852974319065,5.031052304914295,0.07865360763803064
11,90,11173.913043478262,4.956252,4.7371740905836575,4.8019274708171205,4.8134103487705024,0.07623625818684499
11,100,11173.913043478262,4.754654,4.544487192840467,4.598460131206226,4.6220030229161395,0.0775158300756722
11,110,11173.913043478262,4.502687,4.3036577224902715,4.377557130583657,4.451720405062672,0.14806268257240074
11,120,11173.913043478262,4.300561,4.110466163579766,4.150231169649805,4.298762093885501,0.18829593030573477
11,130,11173.913043478262,4.029505,3.851391471595331,3.914244726070039,4.160232617993623,0.3088411463982923
11,140,11173.913043478262,3.943905,3.7695751914396882,3.801664186459144,4.033880319987238,0.26430512854755017
11,150,11173.913043478262,3.85553,3.6851065727626455,3.7215406239688713,3.9179231027635955,0.23281653000094993
11,160,11173.913043478262,3.737804,3.572584336809338,3.6342552695719843,3.8109287613669633,0.23834442455762517
11,170,11173.913043478262,3.553374,3.3963065733852136,3.456984432373541,3.7117307345453217,0.3154241611601081
11,180,11173.913043478262,3.436383,3.2844868487159533,3.328365607937743,3.619367489057009,0.3348806403410558
11,190,11173.913043478262,3.2063,3.064574054474708,3.090050841245136,3.5330380626346614,0.46846400815995315
11,200,11173.913043478262,3.217749,3.075516981945525,3.095543810428015,3.4520688970101565,0.3765519150646317
11,210,11173.913043478262,3.196453,3.055162314863813,3.078340408249027,3.3758887129887656,0.3207263981249526
11,220,11173.913043478262,3.164852,3.0249581528404668,3.0824121063035013,3.304009213998553,0.2790510611580861
