R,k,final_com_velocity,end_time,motor_angle,bottom_height
5.000000000000000104e-03,1.436380244140445429e+05,7.144609492953962970e+00,4.114646222233742101e-02,3.196031681275604086e+01,9.249999999999999889e-02
5.000000000000000104e-03,1.520170067526400962e+05,7.166902667609671873e+00,4.108835349170032042e-02,3.187559460193194028e+01,9.249999999999999889e-02
5.000000000000000104e-03,1.608847687532850832e+05,7.181605102197520907e+00,4.103130058266928754e-02,3.179427080800682859e+01,9.249999999999859723e-02
5.000000000000000104e-03,1.702698228949862823e+05,7.188326978705187997e+00,4.097633213449642514e-02,3.171833947463078829e+01,9.249999999999995726e-02
5.000000000000000104e-03,1.802023449040636187e+05,7.187356106648594256e+00,4.092451818241507611e-02,3.164969057665134144e+01,9.250000000000119238e-02
5.000000000000000104e-03,1.907142707780390629e+05,7.179667403168257245e+00,4.087685259043653124e-02,3.158985406988583478e+01,9.250000000000102585e-02
5.000000000000000104e-03,2.018393994693176355e+05,7.167073933292540389e+00,4.083414531005994524e-02,3.153979496326020282e+01,9.250000000000158096e-02
5.000000000000000104e-03,2.136135015588256938e+05,7.152290006499922193e+00,4.079691431662253731e-02,3.149978359840467945e+01,9.249999999999998501e-02
5.000000000000000104e-03,2.260744342690081685e+05,7.138186859793858474e+00,4.076528115407574565e-02,3.146922613425740423e+01,9.249999999999995726e-02
5.000000000000000104e-03,2.392622631860061665e+05,7.128095217276722906e+00,4.073887666805402208e-02,3.144659589110341358e+01,9.250000000000163647e-02
5.000000000000000104e-03,2.532193910823712067e+05,7.125008205911778525e+00,4.071689359929184238e-02,3.142958314696533506e+01,9.249999999999995726e-02
5.000000000000000104e-03,2.679906942545251804e+05,7.131210532226978316e+00,4.069812302472718829e-02,3.141530426980028778e+01,9.250000000000001277e-02
5.000000000000000104e-03,2.836236668133365456e+05,7.147587811114983758e+00,4.068106587533350249e-02,3.140060905008447989e+01,9.250000000000087319e-02
5.000000000000000104e-03,3.001685733917389880e+05,7.173726554921905141e+00,4.066415845758172137e-02,3.138257611520267432e+01,9.249999999999999889e-02
5.000000000000000104e-03,3.176786107604017016e+05,7.207276485659612320e+00,4.064601432741504067e-02,3.135899543257922772e+01,9.250000000000054012e-02
5.000000000000000104e-03,3.362100788710896159e+05,7.244641162792796685e+00,4.062564503502525542e-02,3.132872767076028708e+01,9.250000000000017930e-02
5.000000000000000104e-03,3.558225618776662159e+05,7.281405658287129157e+00,4.060259741177189158e-02,3.129189776004584544e+01,9.249999999999999889e-02
5.000000000000000104e-03,3.765791197167843929e+05,7.313096999954764144e+00,4.057707904710426694e-02,3.124994268790592145e+01,9.250000000000002665e-02
5.000000000000000104e-03,3.985464908642413793e+05,7.335815241650259999e+00,4.054985567412982411e-02,3.120531014696305405e+01,9.250000000000005440e-02
5.000000000000000104e-03,4.217953069189280504e+05,7.347018370058042258e+00,4.052215101136623365e-02,3.116109741636836361e+01,9.250000000000020706e-02
5.000000000000000104e-03,4.464003197043222026e+05,7.346004214656996822e+00,4.049541163031109697e-02,3.112050511842949163e+01,9.249999999999999889e-02
5.000000000000000104e-03,4.724406416177180363e+05,7.334234059171686582e+00,4.047103704983086303e-02,3.108628051113457502e+01,9.250000000000005440e-02
5.000000000000000104e-03,5.000000000000000000e+05,7.315136507956492729e+00,4.045015093192939198e-02,3.106022068754167975e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.000000000000000000e+04,6.909116600622129845e+00,4.461250876669662496e-02,3.150762332120402220e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.058334012687634095e+04,6.983300926554446342e+00,4.417147395901236534e-02,3.099455992192573106e+01,9.249999999999999889e-02
7.000000000000000146e-03,1.120070882411509047e+04,7.054803205096614072e+00,4.374218849648515289e-02,3.049974135943637066e+01,9.250000000000010991e-02
7.000000000000000146e-03,1.185409111477153965e+04,7.123449566561151691e+00,4.332453952481498533e-02,3.002286009343404416e+01,9.250000000000010991e-02
7.000000000000000146e-03,1.254558781626099153e+04,7.189074260856961551e+00,4.291842642327235030e-02,2.956362704424339682e+01,9.249999999999999889e-02
7.000000000000000146e-03,1.327742229510858851e+04,7.251521605297509332e+00,4.252375888406272064e-02,2.912177090342298769e+01,9.250000000000020706e-02
7.000000000000000146e-03,1.405194761573052710e+04,7.310636340810960476e+00,4.214045812305948491e-02,2.869703711482210196e+01,9.250000000000006828e-02
7.000000000000000146e-03,1.487165410623255048e+04,7.366259092916843443e+00,4.176845559494475613e-02,2.828918703074323204e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.573917736555162446e+04,7.418234065025948176e+00,4.140769270028474974e-02,2.789799740270069250e+01,9.250000000000024869e-02
7.000000000000000146e-03,1.665730673768663473e+04,7.466418946390485090e+00,4.105812354336221132e-02,2.752326024392046477e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.762899428026465830e+04,7.510688163706809917e+00,4.071970858782957697e-02,2.716478347464404308e+01,9.249999999999999889e-02
7.000000000000000146e-03,1.865736425627984499e+04,7.550926055489547650e+00,4.039242102845801846e-02,2.682238953316650054e+01,9.250000000000017930e-02
7.000000000000000146e-03,1.974572317952352387e+04,7.587021190628163936e+00,4.007624212305341965e-02,2.649591370129427759e+01,9.249999999999999889e-02
7.000000000000000146e-03,2.089757044600435984e+04,7.618868272722404633e+00,3.977116155279854237e-02,2.618520110474234386e+01,9.249999999999999889e-02
7.000000000000000146e-03,2.211660958554230456e+04,7.646378585069456335e+00,3.947717591514950108e-02,2.589010501507553030e+01,9.250000000000001277e-02
7.000000000000000146e-03,2.340676016971277568e+04,7.669485841355329292e+00,3.919428957064786251e-02,2.561048610062689335e+01,9.249999999999998501e-02
7.000000000000000146e-03,2.477217041442925984e+04,7.688140203407213491e+00,3.892251367933951406e-02,2.534621055665206057e+01,9.249999999999998501e-02
7.000000000000000146e-03,2.621723051768480946e+04,7.702307367288297790e+00,3.866186346674573004e-02,2.509714509374989788e+01,9.250000000000020706e-02
7.000000000000000146e-03,2.774658677533805894e+04,7.711985117481769514e+00,3.841235848164215039e-02,2.486315158254610935e+01,9.250000000000029032e-02
7.000000000000000146e-03,2.936515652032916842e+04,7.717212578143855417e+00,3.817401956243586525e-02,2.464408382292362276e+01,9.250000000000017930e-02
7.000000000000000146e-03,3.107814393336041030e+04,7.718063888327862720e+00,3.794686530754976667e-02,2.443978085881838780e+01,9.249999999999998501e-02
7.000000000000000146e-03,3.289105677587723767e+04,7.714660708485593155e+00,3.773091028918523770e-02,2.425005775893770377e+01,9.250000000000024869e-02
7.000000000000000146e-03,3.480972409915095341e+04,7.707185625355962522e+00,3.752615789840853949e-02,2.407469882041599618e+01,9.250000000000005440e-02
7.000000000000000146e-03,3.684031498640386417e+04,7.695879340625600307e+00,3.733259538250756349e-02,2.391344849902612779e+01,9.250000000000013767e-02
7.000000000000000146e-03,3.898935838823718223e+04,7.681057542234894342e+00,3.715018761601992375e-02,2.376600344670976384e+01,9.249999999999999889e-02
7.000000000000000146e-03,4.126376411513931816e+04,7.663104546310578691e+00,3.697887394654211790e-02,2.363200536772000859e+01,9.250000000000033196e-02
7.000000000000000146e-03,4.367084505457148043e+04,7.642483713998097450e+00,3.681855686333371236e-02,2.351103273262891946e+01,9.250000000000035971e-02
7.000000000000000146e-03,4.621834068406455481e+04,7.619742377034254943e+00,3.666909505794075513e-02,2.340259578353307646e+01,9.249999999999999889e-02
